Defect ID,Feature ID,Description,Severity,Reproduction Steps,Expected Result,Actual Result,Root Cause Hypothesis,Status,Found,Verification
D-088,F-UI-012,Initial evidence/cross-ref Promise.all (synergy-view.tsx:67-77) has no .catch — a failed fetch rejects unhandled and leaves loading stuck false only via .finally; no error UI.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,.finally clears loading but there's no catch/error state.,Open,2026-06-26,
D-089,F-UI-012,updateAlignment PATCH (synergy-view.tsx:125-134) optimistically updates UI with no error handling/rollback; a failed PATCH silently diverges UI from server.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"No await error check, no rollback.",Open,2026-06-26,
D-090,F-UI-012,The delete (Trash2) icon button (synergy-view.tsx:307) has no aria-label.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Icon-only button without accessible name.,Open,2026-06-26,
D-091,F-UI-013,The graph help text says 'Hover or click to inspect' (synergy-view.tsx:433) but no node has any hover or click handler — the affordance described does not exist.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Copy describes intended/future interactivity never implemented.,Open,2026-06-26,
D-092,F-UI-013,The SVG knowledge graph has no role/aria-label/title/desc (synergy-view.tsx:437) and relies on absolute pixel layout; it is inaccessible to screen readers and can overflow with many nodes.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Decorative-style SVG without accessibility annotations.,Open,2026-06-26,
D-093,F-UI-014,"Timeline scripture composition dates are hardcoded to exactly three books (synergy-view.tsx:597-601), so the empty-state 'No dated items yet.' is effectively unreachable and the timeline always shows the same 3 entries regardless of the actual book set.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Placeholder hardcoded data rather than deriving dates from book metadata.,Open,2026-06-26,
D-094,F-UI-015,"ThemeExplorer fetch (theme-explorer.tsx:29-33) has no .catch; a failure only clears loading via .finally, leaving a permanently blank list with no error or empty-state message.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Missing catch and missing empty state (themes.length===0 not handled).,Open,2026-06-26,
D-095,F-UI-015,Theme cards (theme-explorer.tsx:86-94) are clickable Cards with onClick but no role='button'/tabIndex/keydown — selecting a theme is impossible by keyboard.,medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Clickable Card without interactive semantics.,Open,2026-06-26,
D-096,F-UI-016,Daily insight fetch (study-tools.tsx:40-42) has no .catch and no error/timeout handling; on failure `daily` stays null and the loading spinner (line 149-153) spins indefinitely with no recovery.,medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Promise chain with no catch and loading inferred from null data rather than an explicit state.,Open,2026-06-26,
D-097,F-UI-017,"generateSummary (study-tools.tsx:63-77) uses try/finally with no catch; a failed POST throws and is swallowed (finally resets loading), and on a malformed success `setSummary(d.summary)` can set undefined with no error feedback.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No catch branch and no response.ok check.,Open,2026-06-26,
D-098,F-UI-018,"reviewCard (study-tools.tsx:99-112) issues the PATCH with no try/catch; a failed grade rejects unhandled while the UI still advances and reloads, risking UI/server divergence.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No error handling around the await fetch.,Open,2026-06-26,
D-099,F-UI-018,"The flashcard flip surface (study-tools.tsx:214-217) is a clickable div with no role='button'/tabIndex/keyboard handler, so flipping is mouse/touch-only.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Clickable div without interactive semantics.,Open,2026-06-26,
D-100,F-UI-019,JSON.parse(g.perspectiveNotes) is called inline during render (study-tools.tsx:281) without a try/catch; any malformed perspectiveNotes value throws and crashes the Glossary render (and there is no React error boundary configured in layout).,medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Unguarded JSON.parse in JSX render path.,Open,2026-06-26,
D-101,F-UI-019,Glossary fetch (study-tools.tsx:45-47) has no catch and no loading/empty state; failure or empty data yields a silent blank panel.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Missing loading/empty/error handling.,Open,2026-06-26,
D-102,F-UI-020,"ReviewDashboard.load() (review-dashboard.tsx:77-85) awaits fetch with no try/catch; any failure throws, leaving loading=true so the spinner persists indefinitely with no error UI.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No error handling around the load fetch; loading only set false on the happy path.,Open,2026-06-26,
D-103,F-UI-021,checklist is parsed via JSON.parse(selected.checklist) at render time (review-dashboard.tsx:136) with no try/catch; a malformed checklist string throws and breaks the detail pane.,medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Unguarded JSON.parse in render path.,Open,2026-06-26,
D-104,F-UI-021,"act() (review-dashboard.tsx:91-113) uses try/finally with no catch and no res.ok check; a failed review action is silently swallowed (queue reloads, selection cleared) so the editor gets no confirmation or error.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No error branch on the review POST.,Open,2026-06-26,
D-105,F-UI-021,Reviewer text input (review-dashboard.tsx:345-350) has no associated <label>/htmlFor and no validation; an empty reviewer can be submitted.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,"Bare input with sibling span instead of a proper label, no required check.",Open,2026-06-26,
D-106,F-UI-022,"Only the includeDrafts fetch has a .catch (public-site.tsx:55); the published-topics and transparency fetches in the same Promise.all have no catch, so either failing rejects unhandled (loading is cleared only by .finally) with a blank UI.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Inconsistent error handling across the three parallel fetches.,Open,2026-06-26,
D-107,F-UI-022,Topic cards (public-site.tsx:121-123) are clickable Cards with onClick but no role='button'/tabIndex/keydown — not keyboard accessible.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Clickable Card without interactive semantics.,Open,2026-06-26,
D-108,F-UI-023,viewTopic (public-site.tsx:69-72) has no error handling and unconditionally setSelected(d.topicPage); a failed fetch or missing topicPage sets selected to undefined and silently falls back to the transparency/spinner view with no feedback.,low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,No catch and no guard on the response shape.,Open,2026-06-26,
D-109,F-UI-025,"robots.ts disallows /study and /review and OG/canonical point at public marketing routes (/topics,/articles,/glossary,/scripture), but the actual application is a single-page client app rooted at '/' with in-page tabs (page.tsx); those crawlable public routes are referenced by robots/sitemap yet are not represented among the files in scope, risking sitemap entries that 404 if those routes aren't implemented.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,SEO config anticipates a multi-route public site while the in-scope UI is a one-page tabbed app; route existence not verifiable from these files.,Open,2026-06-26,
D-110,F-UI-026,"The toast system is mounted globally (layout.tsx:183) but never used by any in-scope feature; all user feedback for async actions uses blocking window.alert/confirm (page.tsx, synergy-view.tsx, review-dashboard.tsx) or silent catches, so errors across search/export/summary/daily/themes/review/public are largely invisible despite available non-blocking toast infrastructure.",medium,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Toaster scaffolding from the shadcn template was never wired into feature error handling.,Open,2026-06-26,
D-111,F-UI-026,"useToast's useEffect dependency array is [state] (use-toast.ts:185), causing the listener to be removed/re-added on every state change rather than once on mount.",low,static code review — see Description (file:line),per documented Expected Behaviour,see Description,Incorrect dependency array (should be [] ) carried over from the template.,Open,2026-06-26,
